trade_no,entry_time_utc,exit_time_utc,symbol,direction,regime,score,entry,stop,leverage,risk_pct_price,r_multiple,account_pct,outcome,mfe_r,mae_r,equity,drawdown_pct,notes
79,2025-11-06 18:45,2025-11-07 01:15,BTCUSDT,short,trend_down,7.95,101670.0,102492.86626548844,20,0.8093501185093335,0.4236552625119258,0.14827934187917405,breakeven_or_trailing_stop,1.4218592365133698,0.3390587410147266,109.0444102763669,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
80,2025-11-13 13:15,2025-11-13 14:45,BTCUSDT,short,trend_down,7.7,102511.7,103315.61157142857,20,0.7842144569142572,-1.102012911512478,-0.38570451902936725,stop,1.023371262759705,1.1746316803500616,108.62382105818205,-0.38570451902935066,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / 量能实体合格 / 目标RR>=2
81,2025-11-16 15:15,2025-11-16 16:15,SOLUSDT,short,trend_down,7.95,139.68,140.93232857142857,20,0.8965697103583643,1.7407710208411753,0.6092698572944114,tp_final,3.010392069630316,0.04791074911878656,109.28563325773096,0.0,SOLUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
82,2025-11-19 15:00,2025-11-19 15:45,BNBUSDT,short,trend_down,7.95,919.7,926.8115428571429,20,0.7732459342332074,1.726540031498087,0.6042890110243304,tp_final,3.7600842091730415,0.4035692475814003,109.94603433013579,0.0,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
83,2025-11-20 09:00,2025-11-20 13:30,BNBUSDT,short,trend_down,7.95,905.59,911.1073428571428,30,0.6092539512519802,0.3911918651317634,0.1369171527961172,breakeven_or_trailing_stop,1.5025348640909202,0.8681715318450405,110.09656930995284,0.0,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
84,2025-11-21 14:30,2025-11-21 16:00,AVAXUSDT,short,trend_down,7.300000000000001,13.227,13.340489876033663,20,0.8580167538645415,1.7367617273908968,0.607866604586814,tp_final,3.586222967406162,0.6167951049592932,110.7658095875838,0.0,AVAXUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
85,2025-12-02 04:15,2025-12-02 09:15,XRPUSDT,short,trend_down,7.95,2.0192,2.0326905714285717,20,0.6681146705909059,0.40276007582014633,0.1409660265370512,breakeven_or_trailing_stop,1.89020903488149,0.437342482580423,110.92195174812103,0.0,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
86,2025-12-05 03:15,2025-12-05 15:00,XRPUSDT,short,trend_down,9.9,2.0948,2.1131307142857145,20,0.8750579666657585,1.1485774850952712,0.402002119783345,breakeven_or_trailing_stop,2.3021470599696157,0.21821299146631326,111.36786034545354,0.0,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 跌破短结构低点 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
87,2025-12-09 02:15,2025-12-09 07:00,BTCUSDT,short,trend_down,7.95,90259.6,90875.33385714286,20,0.682181016914384,0.4052290733450027,0.14183017567075096,breakeven_or_trailing_stop,1.4465665476526846,0.34641590278915096,111.52581357742226,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
88,2025-12-11 09:45,2025-12-11 15:00,BTCUSDT,short,trend_down,7.65,90196.0,90705.5498220887,30,0.5649361635645647,0.3808910799846402,0.13331187799462407,breakeven_or_trailing_stop,1.9546665641394951,0.49847922418818447,111.67449073395109,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
