entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-07-29T09:15:00,2025-07-29T10:45:00,long,7.5,118890.9,118344.6,0.4595,30,-1.1741,-0.4109,stop,0,1.164,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-07-30T09:30:00,2025-07-30T14:30:00,short,7.5,118000.1,118479.46,0.4062,40,0.2031,0.0711,breakeven_or_trailing_stop,1.478,0.822,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-07-31T09:00:00,2025-07-31T13:15:00,long,7.5,118482.4,118216.95,0.224,50,-1.3571,-0.475,stop,0.82,1.577,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-01T14:30:00,2025-08-01T15:45:00,short,7.5,115384.6,116033.06,0.562,30,0.2577,0.0902,breakeven_or_trailing_stop,1.17,0.511,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-02T08:15:00,2025-08-02T11:30:00,short,8,113822,114024.89,0.1783,50,0.6512,0.2279,breakeven_or_trailing_stop,2.228,0.205,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
2025-08-03T11:15:00,2025-08-03T12:30:00,short,7.5,113953.4,114218.65,0.2328,50,0.0563,0.0197,breakeven_or_trailing_stop,1.332,0.176,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; 量能与实体合格; 关键目标RR>=2
2025-08-04T07:45:00,2025-08-04T09:15:00,short,7.5,114607,114789.66,0.1594,50,-0.1019,-0.0357,breakeven_or_trailing_stop,1.671,0.591,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; 量能与实体合格; 关键目标RR>=2
2025-08-05T08:30:00,2025-08-05T09:15:00,short,9,114270,114527.21,0.2251,50,-1.3554,-0.4744,stop,0.355,1.103,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
2025-08-06T07:00:00,2025-08-06T09:15:00,short,7.5,114200,114427.42,0.1991,50,0.6983,0.2444,breakeven_or_trailing_stop,2.36,0.603,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-07T08:30:00,2025-08-07T19:45:00,long,7.5,115010.5,114188.52,0.7147,20,1.7381,0.6083,tp3,3.013,0.262,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
