config,scenario,trades,wins,losses,win_rate_pct,profit_factor,expectancy_r,total_r,gross_account_return_pct,net_account_return_pct,cost_drag_pct_points,avg_cost_account_pct,avg_fee_account_pct,avg_slippage_account_pct,avg_funding_account_pct,max_drawdown_pct,avg_holding_hours,avg_notional_to_equity,source_win_rate_pct,source_profit_factor,source_account_return_pct,source_max_drawdown_pct,fee_bps_per_side,slippage_bps_per_side,funding_bps_per_8h,scenario_note
v3_pool8_quality,gross_no_cost,154,100,54,64.93506493506493,1.8152032142622587,0.3219274190725026,49.576822537165405,17.351887888007894,17.351887888007894,0.0,0.0,0.0,0.0,0.0,2.9849601710917884,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,0.0,0.0,0.0,"Original gross backtest, used only as a control."
v3_pool8_quality,maker_low_cost,154,98,56,63.63636363636363,1.4423236776220616,0.19505983969424368,30.039215312913527,17.351887888007894,10.513725359519736,6.838162528488159,0.04440365278239065,0.021266372038263242,0.021266372038263242,0.0018709087058641652,3.7878952003554844,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,2.0,2.0,0.5,Optimistic maker-like execution with light funding proxy.
v3_pool8_quality,base_taker_cost,154,94,60,61.038961038961034,1.1388820024102249,0.06819226031598473,10.501608088661648,17.351887888007894,3.6755628310315767,13.676325056976317,0.08880730556478128,0.05316593009565811,0.031899558057394854,0.0037418174117283304,4.991966813930182,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,5.0,3.0,1.0,Conservative Binance VIP0 taker-style fee plus slippage and funding proxy.
v3_pool8_quality,high_slippage,154,89,65,57.7922077922078,0.9568087983907972,-0.02294933413371482,-3.534197456592082,17.351887888007894,-1.2369691098072293,18.588856997815125,0.12070686362217611,0.05316593009565811,0.06379911611478971,0.0037418174117283304,6.023059698755617,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,5.0,6.0,1.0,Base fee with doubled slippage.
v3_pool8_quality,fee_1p5x,154,89,65,57.7922077922078,0.9852016757275726,-0.007759068392098232,-1.1948965323831278,17.351887888007894,-0.4182137863340952,17.77010167434199,0.11539027061261035,0.07974889514348717,0.031899558057394854,0.0037418174117283304,5.851963641163282,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,7.5,3.0,1.0,Fee multiplied by 1.5 while keeping base slippage/funding.
v3_pool8_quality,funding_3x,154,93,61,60.3896103896104,1.0939729152372726,0.04681044653468001,7.208808766340721,17.351887888007894,2.523083068219251,14.828804819788644,0.09629094038823795,0.05316593009565811,0.031899558057394854,0.011225452235184992,5.190820213641856,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,5.0,3.0,3.0,Base fee/slippage with funding cost tripled.
v3_pool8_quality,combined_stress,154,83,71,53.896103896103895,0.7913118738274147,-0.12028247662310262,-18.523501399957805,17.351887888007894,-6.483225489985232,23.835113377993125,0.15477346349346185,0.07974889514348717,0.06379911611478971,0.011225452235184992,7.129308299928294,5.952922077922078,0.5316593009565811,64.93506493506493,1.8152032142622587,17.351887888007894,3.0212529664935284,7.5,6.0,3.0,"Combined adverse case: fee 1.5x, slippage 2x, funding 3x."
v3_pool8_strict,gross_no_cost,103,59,44,57.28155339805825,1.09791971310677,0.04766368448105111,4.9093595015482645,1.718275825541893,1.718275825541893,0.0,0.0,0.0,0.0,0.0,3.231523219574302,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,0.0,0.0,0.0,"Original gross backtest, used only as a control."
v3_pool8_strict,maker_low_cost,103,59,44,57.28155339805825,0.8349068237637716,-0.09039936891085519,-9.311134997818085,1.718275825541893,-3.2588972492363295,4.977173074778222,0.048322068687167215,0.023322726078843566,0.023322726078843566,0.001676616529480078,5.058232781925674,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,2.0,2.0,0.5,Optimistic maker-like execution with light funding proxy.
v3_pool8_strict,base_taker_cost,103,53,50,51.45631067961165,0.6265648412591468,-0.22846242230276143,-23.531629497184426,1.718275825541893,-8.236070324014552,9.954346149556445,0.09664413737433442,0.05830681519710891,0.034984089118265345,0.003353233058960156,8.535067667479616,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,5.0,3.0,1.0,Conservative Binance VIP0 taker-style fee plus slippage and funding proxy.
v3_pool8_strict,high_slippage,103,46,57,44.66019417475729,0.5079192821428872,-0.3284169626406624,-33.82694715198823,1.718275825541893,-11.839431503195879,13.557707328737772,0.13162822649259973,0.05830681519710891,0.06996817823653069,0.003353233058960156,11.381382665504649,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,5.0,6.0,1.0,Base fee with doubled slippage.
v3_pool8_strict,fee_1p5x,103,47,56,45.63106796116505,0.5258437827460899,-0.31175787258434556,-32.111060876187594,1.718275825541893,-11.23887130666566,12.957147132207552,0.12579754497288886,0.08746022279566337,0.034984089118265345,0.003353233058960156,10.913152648611351,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,7.5,3.0,1.0,Fee multiplied by 1.5 while keeping base slippage/funding.
v3_pool8_strict,funding_3x,103,53,50,51.45631067961165,0.5999949101171822,-0.247623754068248,-25.505246669029543,1.718275825541893,-8.926836334160342,10.645112159702235,0.10335060349225471,0.05830681519710891,0.034984089118265345,0.010059699176880465,9.046121222818588,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,5.0,3.0,3.0,Base fee/slippage with funding cost tripled.
v3_pool8_strict,combined_stress,103,39,64,37.86407766990291,0.40971407932351994,-0.43087374468773326,-44.379995702836524,1.718275825541893,-15.532998495992786,17.25127432153468,0.16748810020907454,0.08746022279566337,0.06996817823653069,0.010059699176880465,14.46699365478139,4.701456310679611,0.5830681519710891,57.28155339805825,1.09791971310677,1.71827582554189,3.260683977129767,7.5,6.0,3.0,"Combined adverse case: fee 1.5x, slippage 2x, funding 3x."
